temp_category,temp_feel,temp
Mild,14.395,9.84
Mild,13.635,9.02
Mild,13.635,9.02
Mild,14.395,9.84
Mild,14.395,9.84
Mild,12.88,9.84
Mild,13.635,
Mild,12.88,8.2
Mild,14.395,9.84
Mild,17.425,13.12
Mild,19.695,15.58
Mild,16.665,14.76
Mild,21.21,17.22
Mild,22.725,18.86
Mild,22.725,18.86
Mild,21.97,18.04
Mild,21.21,17.22
Mild,21.97,18.04
Mild,21.21,17.22
Mild,21.21,
Mild,20.455,16.4
Mild,20.455,16.4
Mild,20.455,16.4
Mild,22.725,
Mild,22.725,18.86
Mild,21.97,18.04
Mild,21.21,
Mild,22.725,18.86
Mild,22.725,18.86
Mild,21.21,17.22
Mild,20.455,16.4
Mild,20.455,
Mild,19.695,15.58
Mild,17.425,14.76
Mild,16.665,14.76
,,14.76
Mild,17.425,14.76
Mild,17.425,14.76
Mild,16.665,13.94
Mild,16.665,
Mild,16.665,13.94
Mild,16.665,14.76
Mild,14.395,13.12
Mild,13.635,
Mild,11.365,10.66
Mild,10.605,9.84
Mild,11.365,
Cold,9.85,9.02
Cold,8.335,
Cold,6.82,6.56
Cold,6.82,6.56
Cold,5.305,5.74
Cold,6.82,
Cold,6.06,5.74
Cold,6.82,6.56
Cold,8.335,7.38
Cold,9.09,8.2
Mild,10.605,
Mild,10.605,9.84
Mild,12.12,10.66
Mild,12.12,10.66
Mild,12.12,10.66
Mild,11.365,9.84
Mild,12.88,9.84
Mild,12.88,8.2
Mild,11.365,
Cold,9.85,7.38
Cold,7.575,5.74
Mild,10.605,7.38
Cold,9.09,6.56
Cold,9.09,6.56
Cold,7.575,5.74
Cold,9.09,5.74
Cold,7.575,4.92
Cold,7.575,
Cold,7.575,4.92
Cold,7.575,5.74
Cold,7.575,6.56
Cold,6.82,6.56
Mild,10.605,9.02
Mild,11.365,9.02
Mild,11.365,9.84
Mild,12.88,10.66
Mild,13.635,
Mild,14.395,12.3
Mild,13.635,11.48
Mild,12.88,10.66
Mild,12.88,9.84
Mild,12.88,9.84
Mild,13.635,
