timestamp,time_hour,time_weekday_name,time_month
01/01/2017 00:00,00:00:00,Sunday,January
01/01/2017 01:00,01:00:00,Sunday,January
01/01/2017 02:00,02:00:00,Sunday,January
01/01/2017 03:00,03:00:00,Sunday,January
01/01/2017 04:00,04:00:00,Sunday,January
01/01/2017 05:00,05:00:00,Sunday,January
01/01/2017 06:00,06:00:00,Sunday,January
01/01/2017 07:00,07:00:00,Sunday,January
01/01/2017 08:00,08:00:00,Sunday,January
01/01/2017 09:00,09:00:00,Sunday,January
01/01/2017 10:00,10:00:00,Sunday,January
01/01/2017 11:00,11:00:00,Sunday,January
01/01/2017 12:00,12:00:00,Sunday,January
01/01/2017 13:00,13:00:00,Sunday,January
01/01/2017 14:00,14:00:00,Sunday,January
01/01/2017 15:00,15:00:00,Sunday,January
01/01/2017 16:00,16:00:00,Sunday,January
01/01/2017 17:00,17:00:00,Sunday,January
01/01/2017 18:00,18:00:00,Sunday,January
01/01/2017 19:00,19:00:00,Sunday,January
01/01/2017 20:00,20:00:00,Sunday,January
01/01/2017 21:00,21:00:00,Sunday,January
01/01/2017 22:00,22:00:00,Sunday,January
01/01/2017 23:00,23:00:00,Sunday,January
02/01/2017 00:00,00:00:00,Monday,January
02/01/2017 01:00,01:00:00,Monday,January
02/01/2017 02:00,02:00:00,Monday,January
02/01/2017 03:00,03:00:00,Monday,January
02/01/2017 04:00,04:00:00,Monday,January
02/01/2017 06:00,06:00:00,Monday,January
02/01/2017 07:00,07:00:00,Monday,January
02/01/2017 08:00,08:00:00,Monday,January
02/01/2017 09:00,09:00:00,Monday,January
02/01/2017 10:00,10:00:00,Monday,January
02/01/2017 11:00,11:00:00,Monday,January
02/01/2017 12:00,12:00:00,Monday,January
02/01/2017 13:00,13:00:00,Monday,January
02/01/2017 14:00,14:00:00,Monday,January
02/01/2017 15:00,15:00:00,Monday,January
02/01/2017 16:00,16:00:00,Monday,January
02/01/2017 17:00,17:00:00,Monday,January
02/01/2017 18:00,18:00:00,Monday,January
02/01/2017 19:00,19:00:00,Monday,January
02/01/2017 20:00,20:00:00,Monday,January
02/01/2017 21:00,21:00:00,Monday,January
02/01/2017 22:00,22:00:00,Monday,January
02/01/2017 23:00,23:00:00,Monday,January
03/01/2017 00:00,00:00:00,Tuesday,January
03/01/2017 01:00,01:00:00,Tuesday,January
03/01/2017 04:00,04:00:00,Tuesday,January
03/01/2017 05:00,05:00:00,Tuesday,January
03/01/2017 06:00,06:00:00,Tuesday,January
03/01/2017 07:00,07:00:00,Tuesday,January
03/01/2017 08:00,08:00:00,Tuesday,January
03/01/2017 09:00,09:00:00,Tuesday,January
03/01/2017 10:00,10:00:00,Tuesday,January
03/01/2017 11:00,11:00:00,Tuesday,January
03/01/2017 12:00,12:00:00,Tuesday,January
03/01/2017 13:00,13:00:00,Tuesday,January
03/01/2017 14:00,14:00:00,Tuesday,January
03/01/2017 15:00,15:00:00,Tuesday,January
03/01/2017 16:00,16:00:00,Tuesday,January
03/01/2017 17:00,17:00:00,Tuesday,January
03/01/2017 18:00,18:00:00,Tuesday,January
03/01/2017 19:00,19:00:00,Tuesday,January
03/01/2017 20:00,20:00:00,Tuesday,January
03/01/2017 21:00,21:00:00,Tuesday,January
03/01/2017 22:00,22:00:00,Tuesday,January
03/01/2017 23:00,23:00:00,Tuesday,January
04/01/2017 00:00,00:00:00,Wednesday,January
04/01/2017 01:00,01:00:00,Wednesday,January
04/01/2017 02:00,02:00:00,Wednesday,January
04/01/2017 04:00,04:00:00,Wednesday,January
04/01/2017 05:00,05:00:00,Wednesday,January
