weather,Weather_Code
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Light snow or rain,3
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Mist,2
Light snow or rain,3
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Clear or partly cloudy,1
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Light snow or rain,3
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Light snow or rain,3
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Mist,2
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Light snow or rain,3
Mist,2
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Clear or partly cloudy,1
Mist,2
Mist,2
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Mist,2
Mist,2
Light snow or rain,3
Light snow or rain,3
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Mist,2
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Light snow or rain,3
Mist,2
Light snow or rain,3
Mist,2
Light snow or rain,3
Light snow or rain,3
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Light snow or rain,3
Mist,2
Mist,2
Light snow or rain,3
Light snow or rain,3
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Clear or partly cloudy,1
Mist,2
